cat,value,label,drainage_area_sqkm,slope_number,slope_minimum,slope_maximum,slope_range,slope_average,slope_stddev,slope_variance,slope_coeff_var,slope_sum,slope_first_quartile,slope_median,slope_third_quartile,relief_100m_number,relief_100m_minimum,relief_100m_maximum,relief_100m_range,relief_100m_average,relief_100m_stddev,relief_100m_variance,relief_100m_coeff_var,relief_100m_sum,relief_100m_first_quartile,relief_100m_median,relief_100m_third_quartile,relief_1km_number,relief_1km_minimum,relief_1km_maximum,relief_1km_range,relief_1km_average,relief_1km_stddev,relief_1km_variance,relief_1km_coeff_var,relief_1km_sum,relief_1km_first_quartile,relief_1km_median,relief_1km_third_quartile,relief_2point5km_number,relief_2point5km_minimum,relief_2point5km_maximum,relief_2point5km_range,relief_2point5km_average,relief_2point5km_stddev,relief_2point5km_variance,relief_2point5km_coeff_var,relief_2point5km_sum,relief_2point5km_first_quartile,relief_2point5km_median,relief_2point5km_third_quartile,relief_5km_number,relief_5km_minimum,relief_5km_maximum,relief_5km_range,relief_5km_average,relief_5km_stddev,relief_5km_variance,relief_5km_coeff_var,relief_5km_sum,relief_5km_first_quartile,relief_5km_median,relief_5km_third_quartile,ksn_points_count,ksn_min,ksn_max,ksn_range,ksn_mean,ksn_stddev,ksn_variance,ksn_median,prop_kjf_average,_number,elev_number,elev_minimum,elev_maximum,elev_range,elev_average,elev_stddev,elev_variance,elev_coeff_var,elev_sum,elev_first_quartile,elev_median,elev_third_quartile
18,290,,33.2612,332612,0.0934455990791321,177.542297363281,177.448851764202,42.4270622854205,18.7203113442902,350.450056827159,44.1235153599667,14111750.0408783,29.3135,38.9312,53.052,332612,6.6075439453125,194.936950683594,188.329406738281,80.6414161042989,26.4606886376489,700.168043178602,32.8127777461466,26822302.6932831,60.6617,76.8227,98.4703,332612,264.279327392578,776.831176757812,512.551849365234,536.752886870479,99.7777233927534,9955.59408544081,18.5891358637127,178530451.207764,459.849,535.195,614.893,332612,605.568725585938,958.217346191406,352.648620605469,835.312624460433,76.2463510807659,5813.50605313142,9.12788204655915,277835002.647034,774.113,845.293,900.201,332612,836.750915527344,1073.32409667969,236.573181152344,1031.71661476191,36.6366319390626,1342.24279983834,3.55103634223407,343161326.669189,1021.38,1042.22,1053.89,166,206.89582,887.311293,680.415473,415.952899909638,156.626384563053,24531.8243412933,391.2614555,0.946899089629959,,332612,219.542388916016,1249.19995117188,1029.65756225586,730.229383748997,225.530860401095,50864.1689932584,30.8849336140406,242883055.787521,560.284,731.996,892.42
16,313,,49.9801,499801,0,178.733749389648,178.733749389648,30.4428162639023,15.5848547045954,242.887696163349,51.1938664593105,15215350.0115146,19.7227,28.8002,39.3912,499801,1.96694946289062,148.159637451172,146.192687988281,56.5890437636061,18.3397373691139,336.345966768073,32.4086362825389,28283260.6620941,45.219,56.6754,68.4659,499801,145.025955200195,556.719970703125,411.69401550293,348.499206883833,86.0727664322279,7408.52112129686,24.6981240508013,174180252.099747,287.819,339.185,411.306,499801,338.854339599609,839.40478515625,500.550445556641,576.36273924699,137.079635807962,18790.8265532435,23.783570046019,288066673.438385,482.996,520.681,710.844,499801,637.926391601562,949.947509765625,312.021118164062,831.34928554934,83.5653724921052,6983.1714797443,10.0517765450279,415509204.266846,789.204,865.334,888.51,330,18.615778,522.394419,503.778641,211.719606381818,132.502343497328,17556.8710322838,183.8275745,0.89544638766229,,499801,157.16682434082,1034.49926757812,877.332443237305,440.744175420129,172.916887266959,29900.2499020942,39.2329375883709,220284379.619156,307.37,405,531.813
17,315,,46.428,464280,0,112.755187988281,112.755187988281,16.3325420209239,12.1091913053561,146.632514069712,74.141497936101,7582872.60947453,6.16057,14.9137,23.6774,464280,0,113.262451171875,113.262451171875,30.7494003333078,18.7121203560804,350.143448220439,60.8536106501285,14276331.5867481,14.7365,30.8708,43.5859,464280,41.8575248718262,428.086212158203,386.228687286377,207.723101504385,102.818464321293,10571.6366053891,49.4978476523098,96441681.5664558,124.015,154.074,307.865,464280,146.077178955078,651.585266113281,505.508087158203,384.466657511755,167.191704887819,27953.0661832957,43.486659147473,178500179.749557,203.389,426.839,537.929,464280,298.067321777344,669.645324707031,371.578002929688,601.183007064021,67.970667074853,4620.01158260051,11.3061524155181,279117246.519684,564.496,621.267,655.912,373,6.739559,492.053654,485.314095,102.609818,110.993786597556,12319.6206632637,48.807656,0.895881795468252,,464280,15.4841022491455,669.405578613281,653.921476364136,170.713827427713,154.716448862751,23937.1795487002,90.6291254750667,79259015.7981386,55.8698,107.458,244.686
21,312,,10.0673,100673,0,78.1342926025391,78.1342926025391,10.7269055080798,10.0758698187424,101.523152604245,93.9308154728591,1079909.75821492,3.02619,7.65566,15.2086,100673,0.140949249267578,71.6188735961914,71.4779243469238,18.5870950150139,12.4407976366593,154.773445836308,66.9324476289067,1871218.6164465,8.92872,16.4727,26.225,100673,31.1098976135254,151.393951416016,120.28405380249,95.8101083353403,29.9348832066723,896.09723259711,31.2439717758158,9645491.03644371,70.1135,97.559,122.197,100673,85.9942169189453,187.808151245117,101.813934326172,156.603993785535,19.4157371464615,376.970848940484,12.3979833956539,15765793.8663712,139.923,165.474,170.517,100673,179.143432617188,472.681854248047,293.538421630859,229.290416823665,65.0133893288112,4226.74079201959,28.3541677098566,23083354.1328888,192.109,192.775,241.694,59,11.531478,156.017965,144.486487,53.6553621016949,44.2945097857571,1962.00359716054,33.350229,0.0316569487350134,,100673,3.07740712165833,181.197463989258,178.120056867599,71.8485627640827,34.2789725257934,1175.0479574241,47.7100323333532,7233210.3591485,46.4607,67.2244,95.6361
22,318,,15.8616,158616,0,111.478179931641,111.478179931641,16.7200560379261,9.85639482096033,97.1485188666536,58.9495322180923,2652068.40851168,10.0085,15.4711,21.9563,158616,0.728534698486328,85.716796875,84.9882621765137,32.1361587257412,13.0379031642114,169.986918919354,40.5708201639171,5097308.95244217,24.5251,31.831,40.104,158616,53.9759178161621,376.768493652344,322.792575836182,256.142086067244,63.7800034709086,4067.88884274912,24.9002436304687,40628233.123642,224.349,270.651,297.903,158616,210.421813964844,654.172790527344,443.7509765625,521.109163657556,100.03085127011,10006.1712058229,19.1957574816023,82656251.1027069,473.636,530.925,607.531,158616,583.714172363281,671.959045410156,88.244873046875,659.64357906947,8.04067847410051,64.6525103238633,1.21894288510215,104630025.937683,658.291,661.246,663.207,144,7.340687,539.457649,532.116962,208.951806159722,147.733287792523,21825.1243219885,201.292935,0.876563524486811,,158616,18.5247039794922,673.639038085938,655.114334106445,299.537636733088,184.36648124208,33990.9994055863,61.5503558260245,47511461.7880554,134.339,295.141,454.776
19,314,,25.2457,252457,0.0478183515369892,200.300354003906,200.252535652369,31.4961322593084,15.7868670996065,249.225172820638,50.1231928086689,7951419.06178821,20.6802,29.6954,39.8321,252457,4.941162109375,162.648406982422,157.707244873047,59.1478403431012,19.399276187066,376.331916582066,32.7979450721039,14932286.3294983,45.9939,58.9316,71.8047,252457,238.827026367188,571.20068359375,332.373657226562,387.569876753525,69.7707916233677,4867.96336375139,18.0021193101492,97844728.3755646,333.329,385.399,438.47,252457,412.406982421875,844.7841796875,432.377197265625,696.102531127183,92.1656422202858,8494.50560587772,13.2402394904446,175735956.700775,638.543,709.971,769.833,252457,828.667236328125,950.218139648438,121.550903320312,894.605513181733,24.8661337998605,618.324610152563,2.7795641132841,225849424.041321,877.346,894.296,912.228,159,0.199724,578.473961,578.274237,325.009934301887,121.855524112595,14848.7687567553,298.071707,0.701481836510772,,252457,146.171951293945,1028.75329589844,882.581344604492,515.807255455251,185.386194045993,34368.0409428586,35.9409822342207,130219152.290466,364.349,508.467,658.102
25,291,,13.524,135240,0.111240342259407,130.335510253906,130.224269911647,30.7275192362415,15.5022156542277,240.318690190183,50.4505929523385,4155589.7015093,20.0248,30.5342,40.133,135240,4.617919921875,165.946716308594,161.328796386719,57.9976065524264,22.2425251810637,494.729926430251,38.3507639422288,7843596.31015015,43.8651,59.6451,72.7684,135240,128.447265625,525.553955078125,397.106689453125,358.655493149846,74.6437811136066,5571.69405893601,20.8121114939735,48504568.8935852,324.793,359.918,405.316,135240,470.307739257812,751.640075683594,281.332336425781,636.002928618572,49.1535189530159,2416.06842546449,7.72850512807851,86013036.0663757,596.062,647.391,676.623,135240,719.412841796875,892.865051269531,173.452209472656,802.439969911437,43.4096204661518,1884.39514901534,5.40970316707215,108521981.530823,772.104,801.405,836.717,77,84.433264,632.936426,548.503162,324.785678220779,123.858822210872,15341.0078394644,300.921862,0,,135240,264.077789306641,962.106262207031,698.028472900391,654.226590859865,138.542314017418,19193.972773301,21.176503057653,88477604.1478882,554.247,666.108,763.922
26,316,,12.1304,121304,0.0762873068451881,174.239562988281,174.163275681436,42.455532266252,18.6314485537469,347.130875210917,43.8846189394193,5150025.88602544,29.8394,39.894,52.8414,121304,7.6041259765625,164.976577758789,157.372451782227,79.0637434652045,21.9327548031508,481.045733255133,27.7405974494532,9590748.33730316,64.7244,77.5914,92.6856,121304,210.317626953125,637.469848632812,427.152221679688,482.940121178293,69.2469343238004,4795.13791324472,14.3386170018034,58582568.4594116,437.702,485.041,526.668,121304,579.067260742188,838.170593261719,259.103332519531,752.945855413712,48.2886321147654,2331.79199151515,6.41329409911325,91335344.045105,723.897,754.072,787.387,121304,837.853881835938,928.603515625,90.7496337890625,903.051133564199,26.9495608233868,726.278828573425,2.98427850004697,109543714.705872,878.931,919.498,921.491,57,302.10014,611.196473,309.096333,421.722961087719,92.1962566523897,8500.14974071331,389.835469,0.917076106311416,,121304,128.975677490234,962.121704101562,833.146026611328,571.559647761823,180.549120416117,32597.9848830337,31.5888501091936,69332471.5121002,433.209,580.333,714.537
29,292,,16.5306,165306,0,137.885070800781,137.885070800781,24.4309409123687,14.7763603950377,218.340826524039,60.4821584565205,4038581.11846002,12.6825,22.6581,33.6577,165306,0.90496826171875,103.962097167969,103.05712890625,45.6623765645139,20.385715420331,415.577393198722,44.6444468161422,7548264.82037354,29.679,45.92,60.569,165306,155.983581542969,566.759765625,410.776184082031,301.409702549283,89.9249588011935,8086.49821539635,29.8347923244077,49824832.2896118,235.615,275.32,360.934,165306,426.298828125,735.111206054688,308.812377929688,607.880984381023,76.6762566073552,5879.24832731698,12.6136955386803,100486374.004089,545.564,626.274,661.547,165306,715.814147949219,1232.37121582031,516.557067871094,841.275188972606,103.398714667911,10691.294194976,12.2907124830562,139067836.388306,783.611,804.201,857.848,112,91.465676,1046.705982,955.240306,350.401128116071,268.55290181433,72120.6610728969,233.560795,0.0837900620667126,,165306,314.636932373047,1004.25158691406,689.614654541016,756.106797403893,133.402398083372,17796.1998143946,17.6433274428179,124988990.251648,686.955,782.184,849.515
30,319,,42.3719,423719,0,126.291275024414,126.291275024414,28.6389172891751,13.5951063994954,184.8269180136,47.4707415165937,12134853.394852,19.5457,26.9173,35.8594,423719,2.53498458862305,130.054992675781,127.520008087158,54.3895277361135,17.9860816698059,323.499133832927,33.0690160743269,23045876.3028183,42.5435,52.5058,65.1968,423719,165.009490966797,569.032043457031,404.022552490234,372.752233866747,81.8223961133814,6694.90450573508,21.9508801502264,157942203.781784,327.954,378.634,420.555,423719,327.188140869141,800.226867675781,473.038726806641,652.855375164988,103.397224675503,10690.9860705964,15.8376921763679,276627226.709534,588.366,682.596,733.321,423719,683.063049316406,1043.33801269531,360.274963378906,898.225476888541,68.3644888172227,4673.70333124017,7.61106098371177,380595200.841736,861.05,919.878,945.177,226,67.488521,747.172728,679.684207,385.774344420354,171.027856206021,29250.5275984273,407.4416465,0.853072437157645,,423719,44.5726432800293,1004.92779541016,960.355152130127,524.795852169089,241.802174492538,58468.2915893197,46.075473632865,222365973.685234,324.062,543.168,723.339
28,317,,10.8786,108786,0,124.367851257324,124.367851257324,23.5927746934395,19.3610368806798,374.849749095042,82.0634161613196,2566563.58780051,4.96067,21.5713,37.3214,108786,0,160.726943969727,160.726943969727,42.0868263711797,29.4076861707883,864.812005919573,69.8738505760229,4578457.49361515,14.792,44.1208,64.8826,108786,34.458869934082,357.311370849609,322.852500915527,240.034239513122,97.2107581231462,9449.93149487684,40.4987048182482,26112364.7796745,155.124,274.313,327.421,108786,204.4423828125,481.556243896484,277.113861083984,388.622003325931,37.3084470996014,1391.92022498376,9.60018907326549,42276633.2538147,372.29,378.674,401.817,108786,417.687622070312,605.009643554688,187.322021484375,539.260430674859,48.5490291438741,2357.00823081273,9.00289106751578,58663985.2113953,502.222,543.044,587.829,101,7.349415,206.468665,199.11925,57.3434274158416,45.4995653936245,2070.21045100871,43.927096,0.696155755336165,,108786,15.4699611663818,393.9912109375,378.521249771118,141.746792330472,114.307750089833,13066.2617305997,80.6422129280592,15420066.5504627,41.7936,97.6349,241.72
35,293,,13.8991,138991,0,121.846305847168,121.846305847168,26.0475292112777,17.2547507900517,297.726424826788,66.2433302218199,3620372.13260469,11.9256,23.6684,37.5543,138991,1.2423095703125,130.186218261719,128.943908691406,48.5515208953485,26.3267693607949,693.098784976488,54.2243968372104,6748224.44076538,27.4642,46.3419,68.4093,138991,95.8052978515625,605.88671875,510.081420898438,331.116011976135,147.119063028842,21644.0187064844,44.4312741479399,46022145.620575,197.908,298.736,468.789,138991,405.212280273438,832.855712890625,427.643432617188,657.222827909977,108.798665774017,11837.1496742063,16.5543041345666,91348058.0740356,571.194,665.846,760.216,138991,837.303955078125,1200.32177734375,363.017822265625,989.392681177898,75.3814668775811,5682.36554861586,7.61896346229664,137516678.149597,928.053,984.265,1041,72,32.759485,1004.493044,971.733559,479.167148527778,373.383370723188,139415.14153261,426.8466235,0.153211359008857,,138991,396.409057617188,1149.89538574219,753.486328125,920.740448364721,140.471826929099,19732.3341607989,15.2563979543404,127974635.658661,895.745,954.1,1001.36
39,320,,41.015,410150,0,142.819595336914,142.819595336914,27.6185776930645,14.0646839156713,197.815333647743,50.9247220185534,11327759.6408104,17.7063,26.3737,35.8192,410150,0.27734375,157.418212890625,157.140869140625,51.6230796563031,18.3212245507356,335.667269038477,35.4903749886968,21173206.1210327,39.1879,52.1594,63.3679,410150,133.776947021484,588.201293945312,454.424346923828,365.654239997757,81.9623521120788,6717.82716374439,22.4152609614431,149973086.53508,316.595,371.136,420.486,410150,362.515625,954.022338867188,591.506713867188,718.375821751212,103.443817232464,10700.6233236234,14.3996796802397,294641843.29126,656.812,734.543,803.678,410150,691.380981445312,1320.99353027344,629.612548828125,1070.41841355797,133.713043681438,17879.1780505542,12.4916613903332,439032112.320801,989.826,1070.07,1168.6,320,109.121812,1556.299063,1447.177251,409.727763209375,269.765323251074,72773.3296287566,356.825927,0.548228696818237,,410150,98.5433883666992,1377.46704101562,1278.92365264893,659.056835936198,299.788896633331,89873.3825446301,45.4875634826665,270312161.259232,430.689,658.679,874.413
31,294,,10.6431,106431,0.139742016792297,145.422546386719,145.282804369926,36.0341183334289,15.3231108293599,234.797725488845,42.5238955136155,3835147.24834517,26.2157,34.7263,44.5205,106431,6.110595703125,154.628784179688,148.518188476562,69.8848956086472,21.6867795226206,470.316406062756,31.0321412570547,7437919.32452393,56.7036,69.7097,82.956,106431,325.746948242188,740.223388671875,414.476440429688,561.404115911448,94.2613623326224,8885.20442880192,16.7902870073526,59750801.4605713,483.492,566.157,640.088,106431,659.490112304688,1190.65942382812,531.169311523438,1035.34128380487,110.569591835898,12225.634638757,10.6795308528175,110192408.176636,967.373,1055.88,1116.76,106431,1205.87463378906,1281.30700683594,75.432373046875,1250.42633756104,16.840973447861,283.61838667156,1.34681851637174,133084125.532959,1244.52,1253.44,1255.44,58,273.152258,853.731226,580.578968,594.923656965517,182.936239608421,33465.6677620695,638.746934,0.625983031259689,,106431,428.155639648438,1613.81591796875,1185.66027832031,1034.76887696822,297.388727811772,88440.0554295044,28.7396281847107,110131486.344604,790.529,1035.49,1300.81
